Student ID,student_name,gender,grade,school_name,reading_score,math_score
22,Kimberly Stewart,F,11th,Huang High School,99,84
35,Benjamin Carlson,M,10th,Huang High School,99,61
78,Jason Thompson,M,12th,Huang High School,99,57
90,Ronald Garcia,M,9th,Huang High School,99,86
98,Virginia Ramirez MD,F,10th,Huang High School,99,89
141,Steven Houston,M,9th,Huang High School,99,71
229,Norman Thompson,M,9th,Huang High School,99,78
245,Lisa Brown,F,9th,Huang High School,99,72
252,Lori Evans,F,10th,Huang High School,99,66
259,Terry Marsh,M,11th,Huang High School,99,69
305,Christine Patel,F,9th,Huang High School,99,94
344,Dwayne Rice,M,11th,Huang High School,99,78
392,Jeffrey Eaton,M,10th,Huang High School,99,90
408,Andrew King,M,10th,Huang High School,99,80
469,Joel Harper,M,9th,Huang High School,99,94
495,Michael Brown,M,12th,Huang High School,99,71
536,Jonathan Evans,M,9th,Huang High School,99,83
751,Timothy French,M,10th,Huang High School,99,55
770,Jasmine Lynch,F,12th,Huang High School,99,90
790,Kristen Underwood,F,11th,Huang High School,99,60
792,Edwin Thompson,M,10th,Huang High School,99,89
865,Kenneth Moran,M,12th,Huang High School,99,76
872,Adrian Black,M,10th,Huang High School,99,85
920,Jason Davis,M,11th,Huang High School,99,70
1001,Theresa Young,F,10th,Huang High School,99,89
1022,Jill Salazar,F,10th,Huang High School,99,58
1041,Dr. Garrett Wright,M,9th,Huang High School,99,64
1096,Antonio Jimenez,M,10th,Huang High School,99,62
1243,Kelly Preston,F,10th,Huang High School,99,78
1247,Timothy Davis,M,10th,Huang High School,99,79
1256,Jennifer Ferguson MD,F,12th,Huang High School,99,80
1353,Patricia Curtis,F,9th,Huang High School,99,95
1423,David Farmer,M,9th,Huang High School,99,64
1435,Margaret Koch,F,9th,Huang High School,99,58
1456,Steven Houston,M,11th,Huang High School,99,70
1525,Alexis Moss,F,11th,Huang High School,99,78
1546,Courtney Rodriguez,F,10th,Huang High School,99,80
1645,Mariah Luna,F,10th,Huang High School,99,93
1686,Joseph Reyes,M,10th,Huang High School,99,71
1736,Bradley Williams,M,9th,Huang High School,99,62
1802,Benjamin Delacruz,M,11th,Huang High School,99,62
1814,Christian Gray,M,11th,Huang High School,99,82
1863,Mr. Mitchell Cooper,M,11th,Huang High School,99,97
1948,Dylan Villegas,M,9th,Huang High School,99,80
1953,Bryan Grimes,M,10th,Huang High School,99,57
2021,Natalie Lee,F,9th,Huang High School,99,80
2029,Deanna Garcia,F,9th,Huang High School,99,61
2046,Kelly Smith,F,9th,Huang High School,99,61
2092,Michael Smith,M,11th,Huang High School,99,71
2100,Valerie Ray,F,12th,Huang High School,99,55
2143,Samantha Frazier,F,11th,Huang High School,99,80
2146,Kathleen Foster,F,11th,Huang High School,99,64
2212,Jason Anderson,M,9th,Huang High School,99,56
2250,Ashlee Keller,F,9th,Huang High School,99,69
2277,Michael Pittman,M,11th,Huang High School,99,80
2322,Alexandria Hartman,F,9th,Huang High School,99,69
2325,Dana Washington,F,10th,Huang High School,99,57
2329,Ryan Carpenter,M,12th,Huang High School,99,81
2378,Mark Mayer,M,11th,Huang High School,99,65
2479,Kaitlyn Barr,F,9th,Huang High School,99,77
2498,Emily Fernandez,F,9th,Huang High School,99,83
2535,Michael Sanchez,M,11th,Huang High School,99,79
2583,Kathryn Williams,F,10th,Huang High School,99,89
2630,Gloria Johnson,F,12th,Huang High School,99,88
2669,Elizabeth Williams,F,10th,Huang High School,99,81
2674,Jennifer Turner,F,9th,Huang High School,99,73
2687,Dr. Kimberly Clements,F,9th,Huang High School,99,90
2745,David Nelson,M,10th,Huang High School,99,77
2750,Elaine Thompson,F,12th,Huang High School,99,87
2776,Connor Buck,M,10th,Huang High School,99,69
2837,Stephanie Larsen,F,10th,Huang High School,99,89
2845,Gary White,M,10th,Huang High School,99,89
2851,Christopher Ingram,M,9th,Huang High School,99,76
2875,Victoria Tran,F,12th,Huang High School,99,91
2901,Brandon Morse,M,10th,Huang High School,99,78
2950,Michael Tucker,M,11th,Figueroa High School,99,70
2957,Amy Warner,F,9th,Figueroa High School,99,98
3031,Brian Hall,M,11th,Figueroa High School,99,95
3072,Ariana Burns,F,10th,Figueroa High School,99,66
3080,Jeffrey Ortiz,M,9th,Figueroa High School,99,90
3093,Caitlyn Bryan,F,11th,Figueroa High School,99,66
3118,Vincent Casey,M,12th,Figueroa High School,99,81
3167,Christine Manning,F,9th,Figueroa High School,99,60
3184,Diana Guzman,F,9th,Figueroa High School,99,66
3232,Laura Rodriguez,F,10th,Figueroa High School,99,91
3257,Michael Collins,M,9th,Figueroa High School,99,79
3303,Juan Gonzales,M,11th,Figueroa High School,99,85
3304,Julie Webster,F,12th,Figueroa High School,99,95
3335,Edwin Clark,M,12th,Figueroa High School,99,88
3336,Connie Hart,F,11th,Figueroa High School,99,69
3351,Mr. Eric Hicks,M,12th,Figueroa High School,99,67
3375,Jeffrey Stephens,M,9th,Figueroa High School,99,90
3388,John Hernandez,M,9th,Figueroa High School,99,62
3467,Dr. Stacy Maynard,F,12th,Figueroa High School,99,82
3496,Anthony Lawrence,M,11th,Figueroa High School,99,73
3514,William Dennis,M,10th,Figueroa High School,99,84
3615,Miranda Massey,F,9th,Figueroa High School,99,60
3653,Brian Foster,M,10th,Figueroa High School,99,61
3680,Brittany Jones,F,12th,Figueroa High School,99,62
3694,Melissa Dyer,F,12th,Figueroa High School,99,99
3790,Jose Raymond,M,12th,Figueroa High School,99,65
3798,Allen Mcdonald,M,9th,Figueroa High School,99,71
3830,Rhonda Craig,F,9th,Figueroa High School,99,88
3865,Julie Ortega,F,10th,Figueroa High School,99,58
3878,Anita Bonilla,F,9th,Figueroa High School,99,56
3891,Eugene Baker,M,9th,Figueroa High School,99,57
3917,Brittney Luna,F,12th,Figueroa High School,99,78
3988,Daniel Gallagher,M,12th,Figueroa High School,99,92
4012,David Morrison,M,10th,Figueroa High School,99,87
4032,Jacqueline Meyer,F,12th,Figueroa High School,99,78
4043,Lauren Allen,F,11th,Figueroa High School,99,97
4089,Melanie French,F,12th,Figueroa High School,99,70
4095,James Martin,M,11th,Figueroa High School,99,73
4106,Thomas Stone,M,12th,Figueroa High School,99,60
4139,Mark Clark,M,10th,Figueroa High School,99,71
4171,Trevor Evans,M,11th,Figueroa High School,99,92
4189,Alicia Harris,F,12th,Figueroa High School,99,75
4201,Julie Green,F,10th,Figueroa High School,99,97
4229,Angela Smith,F,12th,Figueroa High School,99,85
4269,Michael Stein Jr.,M,12th,Figueroa High School,99,99
4289,Megan Medina,F,9th,Figueroa High School,99,59
4309,Matthew Marquez,M,12th,Figueroa High School,99,90
4395,Leslie Taylor,M,10th,Figueroa High School,99,75
4436,Sean Moore,M,10th,Figueroa High School,99,65
4480,Maureen Hayes,F,12th,Figueroa High School,99,78
4482,Amy Williams,F,10th,Figueroa High School,99,71
4487,David Watson,M,9th,Figueroa High School,99,83
4488,Dustin Perkins,M,10th,Figueroa High School,99,67
4520,Todd Mason,M,11th,Figueroa High School,99,57
4525,Linda Salazar,F,9th,Figueroa High School,99,69
4585,Nicole Carr,F,10th,Figueroa High School,99,77
4593,Meghan Kane,F,10th,Figueroa High School,99,75
4674,Tiffany Burch,F,10th,Figueroa High School,99,76
4747,Kenneth Miller,M,11th,Figueroa High School,99,60
4763,Jacob Rose,M,9th,Figueroa High School,99,75
4792,Maria Holt,F,9th,Figueroa High School,99,58
4835,Maurice Bell,M,12th,Figueroa High School,99,75
4876,Martha Cole,F,11th,Figueroa High School,99,79
4889,Patricia Cooper,F,11th,Figueroa High School,99,73
4915,Jennifer Leon,F,11th,Figueroa High School,99,66
4921,Shari Smith,F,10th,Figueroa High School,99,84
4945,Lawrence Rose,M,9th,Figueroa High School,99,98
4946,Dr. Amy Melendez,F,10th,Figueroa High School,99,68
5020,Mrs. Amy Walker MD,F,9th,Figueroa High School,99,96
5031,Gerald Blankenship,M,10th,Figueroa High School,99,65
5043,Robert Garza,M,9th,Figueroa High School,99,81
5080,Casey Alvarez,M,11th,Figueroa High School,99,69
5228,Christopher Macdonald,M,10th,Figueroa High School,99,73
5250,Emma Peterson,F,12th,Figueroa High School,99,90
5268,Daniel Ellis,M,11th,Figueroa High School,99,72
5269,Nathan Mahoney,M,11th,Figueroa High School,99,78
5273,Jesse Miller,M,10th,Figueroa High School,99,89
5295,Sandra White,F,11th,Figueroa High School,99,96
5323,Amanda Rios,F,10th,Figueroa High School,99,58
5350,Roy Page,M,11th,Figueroa High School,99,85
5359,Ashley Stewart,F,12th,Figueroa High School,99,98
5373,Drew Anderson,M,9th,Figueroa High School,99,65
5400,Jessica Reed,F,10th,Figueroa High School,99,57
5411,Alexandra Rodriguez,F,11th,Figueroa High School,99,55
5433,Kelly Smith,F,9th,Figueroa High School,99,88
5508,Kevin Cox,M,11th,Figueroa High School,99,94
5514,Melissa Graham,F,10th,Figueroa High School,99,67
5561,Kathleen Price,F,11th,Figueroa High School,99,83
5580,Benjamin Irwin,M,11th,Figueroa High School,99,65
5596,Samantha Donaldson,F,10th,Figueroa High School,99,97
5609,Elizabeth Bailey,F,11th,Figueroa High School,99,98
5659,Stephen Palmer,M,10th,Figueroa High School,99,88
5673,Dean Cooper,M,11th,Figueroa High School,99,70
5800,Bruce Thompson II,M,9th,Figueroa High School,99,60
5824,Karen Pugh,F,11th,Figueroa High School,99,55
5827,Randy Walsh,M,10th,Figueroa High School,99,88
5840,Stephanie Ramirez,F,9th,Figueroa High School,99,90
5862,Jessica Mccann,F,11th,Figueroa High School,99,66
5865,Ricky Harrison,M,10th,Figueroa High School,99,65
5884,Carlos Brown,M,9th,Shelton High School,99,94
5894,Robert Goodwin,M,9th,Shelton High School,99,94
5897,Shannon Larsen,F,10th,Shelton High School,99,86
5922,Thomas Beard,M,9th,Shelton High School,99,98
5933,Joshua Hughes,M,10th,Shelton High School,99,70
5963,Timothy Hamilton,M,11th,Shelton High School,99,71
5964,Steven Duffy,M,9th,Shelton High School,99,74
6143,Laura White,F,10th,Shelton High School,99,83
6144,Tammy Williams,F,10th,Shelton High School,99,90
6197,Angela Young,F,11th,Shelton High School,99,75
6224,Robert Henry,M,9th,Shelton High School,99,70
6236,Dana Baker,F,11th,Shelton High School,99,79
6248,Erin Ryan,F,12th,Shelton High School,99,86
6273,Emily Morse,F,11th,Shelton High School,99,90
6316,Krystal Brooks,F,9th,Shelton High School,99,87
6364,Joseph Neal,M,12th,Shelton High School,99,80
6368,Heather Carlson,F,11th,Shelton High School,99,82
6372,Brandon Francis,M,10th,Shelton High School,99,99
6381,Monica Martin,F,9th,Shelton High School,99,68
6448,Frank Adams,M,9th,Shelton High School,99,84
6568,Dylan Davis,M,9th,Shelton High School,99,80
6596,Elizabeth Alvarado,F,10th,Shelton High School,99,91
6624,Kimberly Mcfarland,F,11th,Shelton High School,99,83
6728,Joshua Ross,M,9th,Shelton High School,99,75
6745,Alice Greene,F,10th,Shelton High School,99,76
6806,Alexander Hughes,M,11th,Shelton High School,99,72
6830,Maria Espinoza,F,11th,Shelton High School,99,69
6897,Pamela Dougherty,F,9th,Shelton High School,99,87
6905,Michael Anderson,M,9th,Shelton High School,99,87
6911,Christopher Pacheco,M,9th,Shelton High School,99,70
6927,Jessica Scott DDS,F,12th,Shelton High School,99,73
6941,Elizabeth Dominguez,F,9th,Shelton High School,99,95
6971,James Jenkins,M,10th,Shelton High School,99,87
6985,Patricia Moran,F,9th,Shelton High School,99,69
6998,Bridget Adams,F,9th,Shelton High School,99,81
7049,Heather Rollins,F,9th,Shelton High School,99,98
7062,Leslie Espinoza,F,10th,Shelton High School,99,78
7084,Elizabeth Miles,F,10th,Shelton High School,99,92
7091,Rebecca Mathews,F,11th,Shelton High School,99,89
7117,Carol Robinson,F,10th,Shelton High School,99,99
7194,Danielle Smith MD,F,10th,Shelton High School,99,86
7210,Alicia Rogers,F,9th,Shelton High School,99,82
7244,Kevin Schroeder,M,9th,Shelton High School,99,91
7263,Steve Berry,M,9th,Shelton High School,99,94
7330,Melissa Frye,F,10th,Shelton High School,99,88
7405,Michael Armstrong,M,12th,Shelton High School,99,77
7532,Aaron Fields,M,11th,Shelton High School,99,88
7540,David Brown,M,9th,Shelton High School,99,80
7585,Melanie Wallace,F,11th,Shelton High School,99,72
7635,Natalie Rivera MD,F,9th,Hernandez High School,99,97
